Rank,Date,Promotion,Match,WON Rating,Match Type,Rating,Votes
66,18.08.2022,New Japan Pro Wrestling,Kazuchika Okada vs. Will Ospreay,*****3/4,Singles,9.54,474
67,25.04.2004,Pro Wrestling NOAH,Kenta Kobashi vs. Yoshihiro Takayama,****1/2,Singles,9.54,195
68,21.05.1994,All Japan Pro Wrestling,Akira Taue & Toshiaki Kawada vs. Kenta Kobashi & Mitsuharu Misawa,*****,Tag Team,9.53,132
69,20.11.1994,All Japan Women's Pro-Wrestling,Aja Kong vs. Manami Toyota,*****,Singles,9.53,260
70,22.09.2021,All Elite Wrestling,Bryan Danielson vs. Kenny Omega,*****,Singles,9.53,1031
71,14.03.2004,World Wrestling Entertainment,Chris Benoit vs. Shawn Michaels vs. Triple H,****3/4,Triple Threat,9.53,770
72,23.09.2018,New Japan Pro Wrestling,Hiroshi Tanahashi vs. Kazuchika Okada,*****,Singles,9.53,215
73,04.06.2018,New Japan Pro Wrestling,Hiromu Takahashi vs. Taiji Ishimori,*****1/2,Singles,9.53,331
74,15.12.2021,All Elite Wrestling,Adam Page vs. Bryan Danielson,*****,Singles,9.53,777
75,07.06.2015,New Japan Pro Wrestling,KUSHIDA vs. Kyle O'Reilly,****3/4,Singles,9.53,244
76,03.12.1993,All Japan Pro Wrestling,Akira Taue & Toshiaki Kawada vs. Kenta Kobashi & Mitsuharu Misawa,*****,Tag Team,9.52,166
77,08.08.2019,New Japan Pro Wrestling,Shingo Takagi vs. Tomohiro Ishii,*****1/2,Singles,9.51,312
78,15.07.2018,New Japan Pro Wrestling,Kenny Omega vs. Tetsuya Naito,*****,Singles,9.51,369
79,12.08.2023,New Japan Pro Wrestling,Tetsuya Naito vs. Will Ospreay,******,Singles,9.51,509
80,28.07.2018,New Japan Pro Wrestling,Kota Ibushi vs. Tomohiro Ishii,****3/4,Singles,9.51,340
81,02.04.1993,All Japan Women's Pro-Wrestling,Akira Hokuto vs. Shinobu Kandori,****3/4,Singles,9.51,240
82,03.04.2005,World Wrestling Entertainment,Kurt Angle vs. Shawn Michaels,****3/4,Singles,9.50,780
83,15.04.1995,All Japan Pro Wrestling,Akira Taue vs. Mitsuharu Misawa,*****,Singles,9.50,154
84,03.06.2017,New Japan Pro Wrestling,KUSHIDA vs. Will Ospreay,*****,Singles,9.50,251
85,02.09.1995,All Japan Women's Pro-Wrestling,Akira Hokuto vs. Manami Toyota,*****,Singles,9.50,180
86,28.03.2010,World Wrestling Entertainment,Shawn Michaels vs. The Undertaker,****3/4,No Disqualification,9.50,828
87,12.06.2021,World Wonder Ring Stardom,Syuri vs. Utami Hayashishita,*****1/2,Singles,9.49,390
88,23.02.2008,Ring Of Honor,Bryan Danielson vs. Nigel McGuinness,,Singles,9.49,162
89,05.09.2021,All Elite Wrestling,Matt Jackson & Nick Jackson vs. Penta El Zero Miedo & Rey Fenix,*****3/4,Steel Cage,9.49,1018
90,05.10.1997,World Wrestling Entertainment,Shawn Michaels vs. The Undertaker,*****,Hell In A Cell,9.49,663
91,02.04.1989,World Championship Wrestling,Ric Flair vs. Ricky Steamboat,*****,Best Two Out Of Three Falls,9.49,303
92,12.09.2022,JTO,El Desperado vs. Jun Kasai,****3/4,Death,9.48,348
93,06.08.2016,New Japan Pro Wrestling,Kazuchika Okada vs. Tomohiro Ishii,*****,Singles,9.48,323
94,03.09.1994,All Japan Pro Wrestling,Kenta Kobashi vs. Steve Williams,****3/4,Singles,9.48,160
95,19.01.2003,World Wrestling Entertainment,Chris Benoit vs. Kurt Angle,****3/4,Singles,9.47,513
96,31.03.2006,Ring Of Honor,"CIMA, Masato Yoshino & Naruki Doi vs. Dragon Kid, Genki Horiguchi & Ryo Saito",*****,Six Man Tag Team,9.47,296
97,15.07.2023,All Elite Wrestling,Cash Wheeler & Dax Harwood vs. Jay White & Juice Robinson,*****1/4,Best Two Out Of Three Falls Tag Team,9.47,659
98,15.07.2007,Pro Wrestling NOAH,KENTA & Taiji Ishimori vs. Kota Ibushi & Naomichi Marufuji,****3/4,Tag Team,9.46,247
99,03.03.2024,All Elite Wrestling,Konosuke Takeshita vs. Will Ospreay,*****3/4,Singles,9.46,1056
100,04.01.2019,New Japan Pro Wrestling,Hiroshi Tanahashi vs. Kenny Omega,*****3/4,Singles,9.46,470
